,,city,0
totalSnow_cm,count,Zaragoza,3946.0
totalSnow_cm,mean,Barcelona,0.0006082108464267613
totalSnow_cm,mean,Bilbao,0.005676634566649771
totalSnow_cm,mean,Lisboa,0.0
totalSnow_cm,mean,Madrid,0.00978205778003041
totalSnow_cm,mean,Malaga,0.0
totalSnow_cm,mean,Oporto,0.0
totalSnow_cm,mean,Sevilla,0.0
totalSnow_cm,mean,Valencia,0.0
totalSnow_cm,mean,Vigo,0.0
totalSnow_cm,mean,Zaragoza,0.0010136847440446023
totalSnow_cm,min,Barcelona,0.0
totalSnow_cm,min,Bilbao,0.0
totalSnow_cm,min,Lisboa,0.0
totalSnow_cm,min,Madrid,0.0
totalSnow_cm,min,Malaga,0.0
totalSnow_cm,min,Oporto,0.0
totalSnow_cm,min,Sevilla,0.0
totalSnow_cm,min,Valencia,0.0
totalSnow_cm,min,Vigo,0.0
totalSnow_cm,min,Zaragoza,0.0
totalSnow_cm,25%,Barcelona,0.0
totalSnow_cm,25%,Bilbao,0.0
totalSnow_cm,25%,Lisboa,0.0
totalSnow_cm,25%,Madrid,0.0
totalSnow_cm,25%,Malaga,0.0
totalSnow_cm,25%,Oporto,0.0
totalSnow_cm,25%,Sevilla,0.0
totalSnow_cm,25%,Valencia,0.0
totalSnow_cm,25%,Vigo,0.0
totalSnow_cm,25%,Zaragoza,0.0
totalSnow_cm,50%,Barcelona,0.0
totalSnow_cm,50%,Bilbao,0.0
totalSnow_cm,50%,Lisboa,0.0
totalSnow_cm,50%,Madrid,0.0
totalSnow_cm,50%,Malaga,0.0
totalSnow_cm,50%,Oporto,0.0
totalSnow_cm,50%,Sevilla,0.0
totalSnow_cm,50%,Valencia,0.0
totalSnow_cm,50%,Vigo,0.0
totalSnow_cm,50%,Zaragoza,0.0
totalSnow_cm,75%,Barcelona,0.0
totalSnow_cm,75%,Bilbao,0.0
totalSnow_cm,75%,Lisboa,0.0
totalSnow_cm,75%,Madrid,0.0
totalSnow_cm,75%,Malaga,0.0
totalSnow_cm,75%,Oporto,0.0
totalSnow_cm,75%,Sevilla,0.0
totalSnow_cm,75%,Valencia,0.0
totalSnow_cm,75%,Vigo,0.0
totalSnow_cm,75%,Zaragoza,0.0
totalSnow_cm,max,Barcelona,1.1
totalSnow_cm,max,Bilbao,3.5
totalSnow_cm,max,Lisboa,0.0
totalSnow_cm,max,Madrid,5.9
totalSnow_cm,max,Malaga,0.0
totalSnow_cm,max,Oporto,0.0
totalSnow_cm,max,Sevilla,0.0
totalSnow_cm,max,Valencia,0.0
totalSnow_cm,max,Vigo,0.0
totalSnow_cm,max,Zaragoza,1.6
totalSnow_cm,std,Barcelona,0.024138070808360983
totalSnow_cm,std,Bilbao,0.09181019074365919
totalSnow_cm,std,Lisboa,0.0
totalSnow_cm,std,Madrid,0.1405244680710955
totalSnow_cm,std,Malaga,0.0
totalSnow_cm,std,Oporto,0.0
totalSnow_cm,std,Sevilla,0.0
totalSnow_cm,std,Valencia,0.0
totalSnow_cm,std,Vigo,0.0
totalSnow_cm,std,Zaragoza,0.031985204362406344
sunHour,count,Barcelona,3946.0
sunHour,count,Bilbao,3946.0
sunHour,count,Lisboa,3946.0
sunHour,count,Madrid,3946.0
sunHour,count,Malaga,3946.0
sunHour,count,Oporto,3946.0
sunHour,count,Sevilla,3946.0
sunHour,count,Valencia,3946.0
sunHour,count,Vigo,3946.0
sunHour,count,Zaragoza,3946.0
sunHour,mean,Barcelona,10.968727825646223
sunHour,mean,Bilbao,10.145159655347186
sunHour,mean,Lisboa,10.575772934617333
sunHour,mean,Madrid,11.05022807906741
sunHour,mean,Malaga,11.169944247339076
sunHour,mean,Oporto,10.19683223517486
sunHour,mean,Sevilla,10.959249873289407
sunHour,mean,Valencia,11.064850481500251
sunHour,mean,Vigo,10.276102382159149
sunHour,mean,Zaragoza,11.036872782564622
sunHour,min,Barcelona,3.4
sunHour,min,Bilbao,3.4
sunHour,min,Lisboa,4.8
sunHour,min,Madrid,3.4
sunHour,min,Malaga,3.7
sunHour,min,Oporto,3.8
sunHour,min,Sevilla,3.7
sunHour,min,Valencia,5.9
sunHour,min,Vigo,3.4
sunHour,min,Zaragoza,3.4
sunHour,25%,Barcelona,9.1
sunHour,25%,Bilbao,8.7
sunHour,25%,Lisboa,9.8
sunHour,25%,Madrid,8.7
sunHour,25%,Malaga,8.7
sunHour,25%,Oporto,8.7
sunHour,25%,Sevilla,8.7
sunHour,25%,Valencia,11.6
sunHour,25%,Vigo,8.7
sunHour,25%,Zaragoza,8.7
sunHour,50%,Barcelona,11.4
sunHour,50%,Bilbao,10.5
sunHour,50%,Lisboa,11.0
sunHour,50%,Madrid,11.6
sunHour,50%,Malaga,11.6
sunHour,50%,Oporto,10.9
sunHour,50%,Sevilla,11.6
sunHour,50%,Valencia,11.6
sunHour,50%,Vigo,10.9
sunHour,50%,Zaragoza,11.5
sunHour,75%,Barcelona,11.6
sunHour,75%,Bilbao,12.4
sunHour,75%,Lisboa,11.6
sunHour,75%,Madrid,14.0
sunHour,75%,Malaga,13.8
sunHour,75%,Oporto,12.7
sunHour,75%,Sevilla,13.8
sunHour,75%,Valencia,11.6
sunHour,75%,Vigo,13.5
sunHour,75%,Zaragoza,13.9
sunHour,max,Barcelona,14.5
sunHour,max,Bilbao,14.5
sunHour,max,Lisboa,14.5
sunHour,max,Madrid,14.5
sunHour,max,Malaga,14.5
sunHour,max,Oporto,14.1
sunHour,max,Sevilla,14.5
sunHour,max,Valencia,11.6
sunHour,max,Vigo,14.5
sunHour,max,Zaragoza,14.5
sunHour,std,Barcelona,2.447978448139676
sunHour,std,Bilbao,3.1702727469561767
sunHour,std,Lisboa,2.112949025634585
sunHour,std,Madrid,2.8006646320876816
sunHour,std,Malaga,2.5392840217073904
sunHour,std,Oporto,2.8441276704937772
sunHour,std,Sevilla,2.8068424171628377
sunHour,std,Valencia,1.1189229342415103
sunHour,std,Vigo,3.3885611070680124
sunHour,std,Zaragoza,2.6323484871313343
uvIndex,count,Barcelona,3946.0
uvIndex,count,Bilbao,3946.0
uvIndex,count,Lisboa,3946.0
uvIndex,count,Madrid,3946.0
uvIndex,count,Malaga,3946.0
uvIndex,count,Oporto,3946.0
uvIndex,count,Sevilla,3946.0
uvIndex,count,Valencia,3946.0
uvIndex,count,Vigo,3946.0
uvIndex,count,Zaragoza,3946.0
uvIndex,mean,Barcelona,4.612772427774962
uvIndex,mean,Bilbao,3.9457678661936137
uvIndex,mean,Lisboa,4.6573745565129245
uvIndex,mean,Madrid,4.289913836796757
uvIndex,mean,Malaga,4.9576786619361375
uvIndex,mean,Oporto,5.119107957425241
uvIndex,mean,Sevilla,5.09706031424227
uvIndex,mean,Valencia,6.091485048150026
uvIndex,mean,Vigo,3.9885960466294983
uvIndex,mean,Zaragoza,4.3324885960466295
uvIndex,min,Barcelona,1.0
uvIndex,min,Bilbao,1.0
uvIndex,min,Lisboa,2.0
uvIndex,min,Madrid,1.0
uvIndex,min,Malaga,2.0
uvIndex,min,Oporto,2.0
uvIndex,min,Sevilla,1.0
uvIndex,min,Valencia,5.0
uvIndex,min,Vigo,1.0
uvIndex,min,Zaragoza,1.0
uvIndex,25%,Barcelona,4.0
uvIndex,25%,Bilbao,3.0
uvIndex,25%,Lisboa,4.0
uvIndex,25%,Madrid,3.0
uvIndex,25%,Malaga,4.0
uvIndex,25%,Oporto,4.0
uvIndex,25%,Sevilla,4.0
uvIndex,25%,Valencia,6.0
uvIndex,25%,Vigo,3.0
uvIndex,25%,Zaragoza,3.0
uvIndex,50%,Barcelona,5.0
uvIndex,50%,Bilbao,4.0
uvIndex,50%,Lisboa,5.0
uvIndex,50%,Madrid,4.0
uvIndex,50%,Malaga,5.0
uvIndex,50%,Oporto,5.0
uvIndex,50%,Sevilla,5.0
uvIndex,50%,Valencia,6.0
uvIndex,50%,Vigo,4.0
uvIndex,50%,Zaragoza,4.0
uvIndex,75%,Barcelona,6.0
uvIndex,75%,Bilbao,5.0
uvIndex,75%,Lisboa,5.0
uvIndex,75%,Madrid,6.0
uvIndex,75%,Malaga,6.0
uvIndex,75%,Oporto,6.0
uvIndex,75%,Sevilla,6.0
uvIndex,75%,Valencia,6.0
uvIndex,75%,Vigo,5.0
uvIndex,75%,Zaragoza,6.0
uvIndex,max,Barcelona,8.0
uvIndex,max,Bilbao,7.0
uvIndex,max,Lisboa,8.0
uvIndex,max,Madrid,8.0
uvIndex,max,Malaga,8.0
uvIndex,max,Oporto,8.0
uvIndex,max,Sevilla,9.0
uvIndex,max,Valencia,7.0
uvIndex,max,Vigo,7.0
uvIndex,max,Zaragoza,8.0
uvIndex,std,Barcelona,1.2761154090825335
uvIndex,std,Bilbao,1.1682745744079035
uvIndex,std,Lisboa,1.045331270578153
uvIndex,std,Madrid,1.7073863667904159
uvIndex,std,Malaga,1.1553515024358691
uvIndex,std,Oporto,1.1454455202233678
uvIndex,std,Sevilla,1.5863666547832391
uvIndex,std,Valencia,0.4917504229623091
uvIndex,std,Vigo,1.0845716999788504
uvIndex,std,Zaragoza,1.5345431080836414
moon_illumination,count,Barcelona,3946.0
moon_illumination,count,Bilbao,3946.0
moon_illumination,count,Lisboa,3946.0
moon_illumination,count,Madrid,3946.0
moon_illumination,count,Malaga,3946.0
moon_illumination,count,Oporto,3946.0
moon_illumination,count,Sevilla,3946.0
moon_illumination,count,Valencia,3946.0
moon_illumination,count,Vigo,3946.0
moon_illumination,count,Zaragoza,3946.0
moon_illumination,mean,Barcelona,46.1158134820071
moon_illumination,mean,Bilbao,46.1158134820071
moon_illumination,mean,Lisboa,46.1158134820071
moon_illumination,mean,Madrid,46.1158134820071
moon_illumination,mean,Malaga,46.1158134820071
moon_illumination,mean,Oporto,46.1158134820071
moon_illumination,mean,Sevilla,46.1158134820071
moon_illumination,mean,Valencia,46.1158134820071
moon_illumination,mean,Vigo,46.1158134820071
moon_illumination,mean,Zaragoza,46.1158134820071
moon_illumination,min,Barcelona,0.0
moon_illumination,min,Bilbao,0.0
moon_illumination,min,Lisboa,0.0
moon_illumination,min,Madrid,0.0
moon_illumination,min,Malaga,0.0
moon_illumination,min,Oporto,0.0
moon_illumination,min,Sevilla,0.0
moon_illumination,min,Valencia,0.0
moon_illumination,min,Vigo,0.0
moon_illumination,min,Zaragoza,0.0
moon_illumination,25%,Barcelona,18.0
moon_illumination,25%,Bilbao,18.0
moon_illumination,25%,Lisboa,18.0
moon_illumination,25%,Madrid,18.0
moon_illumination,25%,Malaga,18.0
moon_illumination,25%,Oporto,18.0
moon_illumination,25%,Sevilla,18.0
moon_illumination,25%,Valencia,18.0
moon_illumination,25%,Vigo,18.0
moon_illumination,25%,Zaragoza,18.0
moon_illumination,50%,Barcelona,46.0
moon_illumination,50%,Bilbao,46.0
moon_illumination,50%,Lisboa,46.0
moon_illumination,50%,Madrid,46.0
moon_illumination,50%,Malaga,46.0
moon_illumination,50%,Oporto,46.0
moon_illumination,50%,Sevilla,46.0
moon_illumination,50%,Valencia,46.0
moon_illumination,50%,Vigo,46.0
moon_illumination,50%,Zaragoza,46.0
moon_illumination,75%,Barcelona,73.0
moon_illumination,75%,Bilbao,73.0
moon_illumination,75%,Lisboa,73.0
moon_illumination,75%,Madrid,73.0
moon_illumination,75%,Malaga,73.0
moon_illumination,75%,Oporto,73.0
moon_illumination,75%,Sevilla,73.0
moon_illumination,75%,Valencia,73.0
moon_illumination,75%,Vigo,73.0
moon_illumination,75%,Zaragoza,73.0
moon_illumination,max,Barcelona,100.0
moon_illumination,max,Bilbao,100.0
moon_illumination,max,Lisboa,100.0
moon_illumination,max,Madrid,100.0
moon_illumination,max,Malaga,100.0
moon_illumination,max,Oporto,100.0
moon_illumination,max,Sevilla,100.0
moon_illumination,max,Valencia,100.0
moon_illumination,max,Vigo,100.0
moon_illumination,max,Zaragoza,100.0
moon_illumination,std,Barcelona,31.285001987588682
moon_illumination,std,Bilbao,31.285001987588682
